name,type1,type2,attack,defense,sp_attack,sp_defense,speed,against_bug,against_dark,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
Solrock,rock,psychic,95.0,85.0,55.0,65.0,70.0,2.0,2.0,2.0,2.0,2.0,1.0,0.5,0.5,0.5,1.0,2.0,2.0
Barboach,water,ground,48.0,43.0,46.0,41.0,60.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
Whiscash,water,ground,78.0,73.0,76.0,71.0,60.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
Crawdaunt,water,dark,120.0,85.0,90.0,55.0,55.0,2.0,0.5,0.5,2.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.5
Baltoy,ground,psychic,40.0,55.0,40.0,70.0,55.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.5,0.5,0.5,1.0,2.0
Claydol,ground,psychic,70.0,105.0,70.0,120.0,75.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.5,0.5,0.5,1.0,2.0
Lileep,rock,grass,41.0,77.0,61.0,87.0,23.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,2.0,1.0
Cradily,rock,grass,81.0,97.0,81.0,107.0,43.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,2.0,1.0
Anorith,rock,bug,95.0,50.0,40.0,50.0,75.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0
Armaldo,rock,bug,125.0,100.0,70.0,80.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0
Tropius,grass,flying,68.0,83.0,72.0,87.0,51.0,1.0,1.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5
Spheal,ice,water,40.0,50.0,55.0,50.0,25.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
Sealeo,ice,water,60.0,70.0,75.0,70.0,45.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
Walrein,ice,water,80.0,90.0,95.0,90.0,65.0,1.0,1.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,2.0,1.0,0.5
Relicanth,water,rock,90.0,130.0,45.0,65.0,55.0,1.0,1.0,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Salamence,dragon,flying,145.0,130.0,120.0,90.0,120.0,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5
Beldum,steel,psychic,55.0,80.0,35.0,60.0,30.0,1.0,2.0,2.0,0.5,2.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0
Metang,steel,psychic,75.0,100.0,55.0,80.0,50.0,1.0,2.0,2.0,0.5,2.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0
Metagross,steel,psychic,145.0,150.0,105.0,110.0,110.0,1.0,2.0,2.0,0.5,2.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0
Latias,dragon,psychic,100.0,120.0,140.0,150.0,110.0,2.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5
Latios,dragon,psychic,130.0,100.0,160.0,120.0,110.0,2.0,2.0,2.0,0.5,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5
Rayquaza,dragon,flying,180.0,100.0,180.0,100.0,115.0,0.5,1.0,1.0,0.25,0.0,4.0,1.0,1.0,1.0,2.0,1.0,0.5
Jirachi,steel,psychic,100.0,100.0,100.0,100.0,100.0,1.0,2.0,2.0,0.5,2.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0
Torterra,grass,ground,109.0,105.0,75.0,85.0,56.0,2.0,1.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.5,1.0,1.0
Monferno,fire,fighting,78.0,52.0,78.0,52.0,81.0,0.25,0.5,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0
Infernape,fire,fighting,104.0,71.0,104.0,71.0,108.0,0.25,0.5,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0
Empoleon,water,steel,86.0,88.0,111.0,101.0,60.0,0.5,1.0,1.0,1.0,2.0,0.25,0.5,0.0,0.5,0.5,0.25,0.5
Starly,normal,flying,55.0,30.0,30.0,30.0,60.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Staravia,normal,flying,75.0,50.0,40.0,40.0,80.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Staraptor,normal,flying,120.0,70.0,50.0,60.0,100.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Bibarel,normal,water,85.0,60.0,55.0,60.0,71.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Budew,grass,poison,30.0,35.0,50.0,70.0,55.0,1.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Roserade,grass,poison,70.0,65.0,125.0,105.0,90.0,1.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Shieldon,rock,steel,42.0,118.0,42.0,88.0,30.0,0.5,1.0,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0
Bastiodon,rock,steel,52.0,168.0,47.0,138.0,30.0,0.5,1.0,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0
Wormadam,bug,grass,69.0,95.0,69.0,95.0,36.0,2.0,1.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
Mothim,bug,flying,94.0,50.0,94.0,50.0,66.0,0.5,1.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
Combee,bug,flying,30.0,42.0,30.0,42.0,70.0,0.5,1.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
Vespiquen,bug,flying,80.0,102.0,80.0,102.0,40.0,0.5,1.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
Gastrodon,water,ground,83.0,68.0,92.0,82.0,39.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
Drifloon,ghost,flying,50.0,34.0,60.0,44.0,70.0,0.25,2.0,2.0,0.5,0.0,2.0,0.0,0.5,1.0,2.0,1.0,1.0
Drifblim,ghost,flying,80.0,44.0,90.0,54.0,80.0,0.25,2.0,2.0,0.5,0.0,2.0,0.0,0.5,1.0,2.0,1.0,1.0
Honchkrow,dark,flying,125.0,52.0,105.0,52.0,71.0,1.0,0.5,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0
Stunky,poison,dark,63.0,47.0,41.0,41.0,74.0,1.0,0.5,0.5,0.5,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0
Skuntank,poison,dark,93.0,67.0,71.0,61.0,84.0,1.0,0.5,0.5,0.5,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0
Bronzor,steel,psychic,24.0,86.0,24.0,86.0,23.0,1.0,2.0,2.0,0.5,2.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0
Bronzong,steel,psychic,89.0,116.0,79.0,116.0,33.0,1.0,2.0,2.0,0.5,2.0,0.5,0.5,0.0,0.25,0.5,0.5,1.0
Mime Jr.,psychic,fairy,25.0,45.0,70.0,90.0,60.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0
Chatot,normal,flying,65.0,45.0,92.0,42.0,91.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Spiritomb,ghost,dark,92.0,108.0,92.0,108.0,35.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0
Gible,dragon,ground,70.0,45.0,40.0,45.0,42.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,1.0,1.0
Gabite,dragon,ground,90.0,65.0,50.0,55.0,82.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,1.0,1.0
Garchomp,dragon,ground,170.0,115.0,120.0,95.0,92.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,0.5,1.0,0.5,1.0,1.0
Lucario,fighting,steel,145.0,88.0,140.0,70.0,112.0,0.25,0.5,1.0,0.5,2.0,0.5,0.5,0.0,1.0,0.25,0.5,1.0
Skorupi,poison,bug,50.0,90.0,30.0,55.0,65.0,0.5,1.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Drapion,poison,dark,90.0,110.0,60.0,75.0,95.0,1.0,0.5,0.5,0.5,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0
Croagunk,poison,fighting,61.0,40.0,61.0,40.0,50.0,0.25,0.5,1.0,0.5,2.0,1.0,1.0,0.5,4.0,0.5,1.0,1.0
Toxicroak,poison,fighting,106.0,65.0,86.0,65.0,85.0,0.25,0.5,1.0,0.5,2.0,1.0,1.0,0.5,4.0,0.5,1.0,1.0
Mantyke,water,flying,20.0,50.0,60.0,120.0,50.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
Snover,grass,ice,62.0,50.0,62.0,60.0,40.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,2.0,2.0,0.5
Abomasnow,grass,ice,132.0,105.0,132.0,105.0,30.0,2.0,1.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,2.0,2.0,0.5
Weavile,dark,ice,120.0,65.0,45.0,85.0,125.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.0,2.0,2.0,1.0
Magnezone,electric,steel,70.0,115.0,130.0,90.0,60.0,0.5,1.0,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
Rhyperior,ground,rock,140.0,130.0,55.0,55.0,40.0,1.0,1.0,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0
Togekiss,fairy,flying,50.0,95.0,120.0,115.0,80.0,0.25,0.5,1.0,0.5,0.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0
Yanmega,bug,flying,76.0,86.0,116.0,56.0,95.0,0.5,1.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
Gliscor,ground,flying,95.0,125.0,45.0,75.0,95.0,0.5,1.0,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0
Mamoswine,ice,ground,130.0,80.0,70.0,60.0,80.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0
Gallade,psychic,fighting,165.0,95.0,65.0,115.0,110.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
Probopass,rock,steel,55.0,145.0,75.0,150.0,40.0,0.5,1.0,1.0,1.0,4.0,0.5,0.25,0.0,0.5,0.5,1.0,2.0
Froslass,ice,ghost,80.0,70.0,80.0,70.0,110.0,0.5,2.0,2.0,1.0,1.0,0.5,0.0,0.5,1.0,2.0,2.0,1.0
Rotom,electric,ghost,65.0,107.0,105.0,107.0,86.0,0.5,2.0,2.0,1.0,2.0,1.0,0.0,0.5,1.0,1.0,0.5,1.0
Dialga,steel,dragon,120.0,120.0,150.0,100.0,90.0,0.5,1.0,1.0,0.25,2.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5
Palkia,water,dragon,120.0,100.0,150.0,120.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25
Heatran,fire,steel,90.0,106.0,130.0,106.0,77.0,0.25,1.0,1.0,0.25,4.0,0.25,0.5,0.0,0.5,1.0,0.25,2.0
Giratina,ghost,dragon,120.0,100.0,120.0,100.0,90.0,0.5,2.0,2.0,0.5,1.0,2.0,0.0,0.5,1.0,1.0,1.0,0.5
Shaymin,grass,grass,103.0,75.0,120.0,75.0,127.0,2.0,1.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
Victini,psychic,fire,100.0,100.0,100.0,100.0,100.0,1.0,2.0,2.0,0.5,2.0,0.5,1.0,1.0,0.5,2.0,0.5,2.0
Pignite,fire,fighting,93.0,55.0,70.0,55.0,55.0,0.25,0.5,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0
Emboar,fire,fighting,123.0,65.0,100.0,65.0,65.0,0.25,0.5,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0
Pidove,normal,flying,55.0,50.0,36.0,30.0,43.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Tranquill,normal,flying,77.0,62.0,50.0,42.0,65.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Unfezant,normal,flying,115.0,80.0,65.0,55.0,93.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Woobat,psychic,flying,45.0,43.0,55.0,43.0,72.0,1.0,2.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0
Swoobat,psychic,flying,57.0,55.0,77.0,55.0,114.0,1.0,2.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0
Excadrill,ground,steel,135.0,60.0,50.0,65.0,88.0,0.5,1.0,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0
Palpitoad,water,ground,65.0,55.0,65.0,55.0,69.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
Seismitoad,water,ground,95.0,75.0,85.0,75.0,74.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0
Sewaddle,bug,grass,53.0,70.0,40.0,60.0,42.0,2.0,1.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
Swadloon,bug,grass,63.0,90.0,50.0,80.0,42.0,2.0,1.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
Leavanny,bug,grass,103.0,80.0,70.0,80.0,92.0,2.0,1.0,1.0,0.25,0.25,2.0,1.0,2.0,1.0,2.0,1.0,0.5
Venipede,bug,poison,45.0,59.0,30.0,39.0,57.0,0.5,1.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Whirlipede,bug,poison,55.0,99.0,40.0,79.0,47.0,0.5,1.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Scolipede,bug,poison,100.0,89.0,55.0,69.0,112.0,0.5,1.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0
Cottonee,grass,fairy,27.0,60.0,37.0,50.0,66.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,4.0,1.0,1.0,2.0,0.5
Whimsicott,grass,fairy,67.0,85.0,77.0,75.0,116.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,4.0,1.0,1.0,2.0,0.5
Sandile,ground,dark,72.0,35.0,35.0,35.0,65.0,2.0,0.5,0.5,2.0,1.0,2.0,1.0,0.5,0.0,0.5,1.0,2.0
Krokorok,ground,dark,82.0,45.0,45.0,45.0,74.0,2.0,0.5,0.5,2.0,1.0,2.0,1.0,0.5,0.0,0.5,1.0,2.0
Krookodile,ground,dark,117.0,80.0,65.0,70.0,92.0,2.0,0.5,0.5,2.0,1.0,2.0,1.0,0.5,0.0,0.5,1.0,2.0
Darmanitan,fire,fire,30.0,105.0,140.0,105.0,55.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Dwebble,bug,rock,65.0,85.0,35.0,35.0,55.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0
Crustle,bug,rock,105.0,125.0,65.0,75.0,45.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0
Scraggy,dark,fighting,75.0,70.0,35.0,70.0,48.0,1.0,0.25,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0
Scrafty,dark,fighting,90.0,115.0,45.0,115.0,58.0,1.0,0.25,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0
Sigilyph,psychic,flying,58.0,80.0,103.0,80.0,97.0,1.0,2.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0
Tirtouga,water,rock,78.0,103.0,53.0,45.0,22.0,1.0,1.0,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Carracosta,water,rock,108.0,133.0,83.0,65.0,32.0,1.0,1.0,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Archen,rock,flying,112.0,45.0,74.0,45.0,70.0,0.5,1.0,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0
Archeops,rock,flying,140.0,65.0,112.0,65.0,110.0,0.5,1.0,1.0,1.0,0.0,2.0,0.5,0.5,1.0,2.0,2.0,2.0
Ducklett,water,flying,44.0,50.0,44.0,50.0,55.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
Swanna,water,flying,87.0,63.0,87.0,63.0,98.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5
Deerling,normal,grass,60.0,50.0,40.0,50.0,75.0,2.0,1.0,0.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
Sawsbuck,normal,grass,100.0,70.0,60.0,70.0,95.0,2.0,1.0,0.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5
Emolga,electric,flying,75.0,60.0,75.0,60.0,103.0,0.5,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0
Escavalier,bug,steel,135.0,105.0,60.0,105.0,20.0,0.5,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0
Foongus,grass,poison,55.0,45.0,55.0,55.0,15.0,1.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Amoonguss,grass,poison,85.0,70.0,85.0,80.0,30.0,1.0,1.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5
Frillish,water,ghost,40.0,50.0,65.0,85.0,40.0,0.5,2.0,2.0,2.0,1.0,0.5,0.0,0.5,1.0,1.0,0.5,0.5
Jellicent,water,ghost,60.0,70.0,85.0,105.0,60.0,0.5,2.0,2.0,2.0,1.0,0.5,0.0,0.5,1.0,1.0,0.5,0.5
Joltik,bug,electric,47.0,50.0,57.0,50.0,65.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0
Galvantula,bug,electric,77.0,60.0,97.0,60.0,108.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0
Ferroseed,grass,steel,50.0,91.0,24.0,86.0,10.0,1.0,1.0,1.0,0.25,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5
Ferrothorn,grass,steel,94.0,131.0,54.0,116.0,20.0,1.0,1.0,1.0,0.25,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.5
Litwick,ghost,fire,30.0,55.0,65.0,55.0,20.0,0.25,2.0,2.0,0.5,2.0,0.5,0.0,0.5,1.0,2.0,0.5,2.0
Lampent,ghost,fire,40.0,60.0,95.0,60.0,55.0,0.25,2.0,2.0,0.5,2.0,0.5,0.0,0.5,1.0,2.0,0.5,2.0
Chandelure,ghost,fire,55.0,90.0,145.0,90.0,80.0,0.25,2.0,2.0,0.5,2.0,0.5,0.0,0.5,1.0,2.0,0.5,2.0
Stunfisk,ground,electric,66.0,84.0,81.0,99.0,32.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.5,1.0,0.5,0.5,2.0
Golett,ground,ghost,74.0,50.0,35.0,50.0,35.0,0.5,2.0,2.0,2.0,1.0,2.0,0.0,0.25,1.0,0.5,1.0,2.0
Golurk,ground,ghost,124.0,80.0,55.0,80.0,55.0,0.5,2.0,2.0,2.0,1.0,2.0,0.0,0.25,1.0,0.5,1.0,2.0
Pawniard,dark,steel,85.0,70.0,40.0,40.0,60.0,1.0,0.5,0.5,0.5,2.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0
Bisharp,dark,steel,125.0,100.0,60.0,70.0,70.0,1.0,0.5,0.5,0.5,2.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0
Rufflet,normal,flying,83.0,50.0,37.0,50.0,60.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Braviary,normal,flying,123.0,75.0,57.0,75.0,80.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Vullaby,dark,flying,55.0,75.0,45.0,65.0,60.0,1.0,0.5,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0
Mandibuzz,dark,flying,65.0,105.0,55.0,95.0,80.0,1.0,0.5,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0
Durant,bug,steel,109.0,112.0,48.0,48.0,109.0,0.5,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0
Deino,dark,dragon,65.0,50.0,45.0,50.0,38.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.5
Zweilous,dark,dragon,85.0,70.0,65.0,70.0,58.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.5
Hydreigon,dark,dragon,105.0,90.0,125.0,90.0,98.0,2.0,0.5,0.5,0.5,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.5
Larvesta,bug,fire,85.0,55.0,50.0,55.0,60.0,0.5,1.0,1.0,0.25,1.0,0.5,1.0,1.0,1.0,4.0,0.5,2.0
Volcarona,bug,fire,60.0,65.0,135.0,105.0,100.0,0.5,1.0,1.0,0.25,1.0,0.5,1.0,1.0,1.0,4.0,0.5,2.0
Cobalion,steel,fighting,90.0,129.0,90.0,72.0,108.0,0.25,0.5,1.0,0.5,2.0,0.5,0.5,0.0,1.0,0.25,0.5,1.0
Terrakion,rock,fighting,129.0,90.0,72.0,90.0,108.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,2.0,0.5,2.0,2.0
Virizion,grass,fighting,90.0,72.0,90.0,129.0,108.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,2.0,0.5,1.0,0.5
Thundurus,electric,flying,105.0,70.0,145.0,80.0,101.0,0.5,1.0,1.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,0.5,1.0
Reshiram,dragon,fire,120.0,100.0,150.0,120.0,90.0,0.5,1.0,1.0,0.25,2.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0
Zekrom,dragon,electric,150.0,120.0,120.0,100.0,90.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5
Landorus,ground,flying,145.0,90.0,105.0,80.0,91.0,0.5,1.0,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0
Kyurem,dragon,ice,120.0,90.0,170.0,100.0,95.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5
Keldeo,water,fighting,72.0,90.0,129.0,90.0,108.0,0.5,0.5,1.0,2.0,1.0,0.5,1.0,1.0,2.0,0.5,0.5,0.5
Meloetta,normal,psychic,128.0,90.0,77.0,77.0,128.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Genesect,bug,steel,120.0,95.0,120.0,95.0,99.0,0.5,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0
Chesnaught,grass,fighting,107.0,122.0,74.0,75.0,64.0,1.0,0.5,1.0,0.5,0.5,2.0,1.0,2.0,2.0,0.5,1.0,0.5
Delphox,fire,psychic,69.0,72.0,114.0,100.0,104.0,1.0,2.0,2.0,0.5,2.0,0.5,1.0,1.0,0.5,2.0,0.5,2.0
Greninja,water,dark,145.0,67.0,153.0,71.0,132.0,2.0,0.5,0.5,2.0,1.0,0.5,1.0,1.0,0.0,1.0,0.5,0.5
Diggersby,normal,ground,56.0,77.0,50.0,77.0,78.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
Fletchling,normal,flying,50.0,43.0,40.0,38.0,62.0,0.5,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0
Fletchinder,fire,flying,73.0,55.0,56.0,52.0,84.0,0.25,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
Talonflame,fire,flying,81.0,71.0,74.0,69.0,126.0,0.25,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0
Vivillon,bug,flying,52.0,50.0,90.0,50.0,89.0,0.5,1.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0
Litleo,fire,normal,50.0,58.0,73.0,54.0,72.0,0.5,1.0,0.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Pyroar,fire,normal,68.0,72.0,109.0,66.0,106.0,0.5,1.0,0.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Pangoro,fighting,dark,124.0,78.0,69.0,71.0,58.0,1.0,0.25,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0
Honedge,steel,ghost,80.0,100.0,35.0,37.0,28.0,0.25,2.0,2.0,0.5,2.0,0.5,0.0,0.0,0.5,0.5,0.5,1.0
Doublade,steel,ghost,110.0,150.0,45.0,49.0,35.0,0.25,2.0,2.0,0.5,2.0,0.5,0.0,0.0,0.5,0.5,0.5,1.0
Aegislash,steel,ghost,150.0,50.0,150.0,50.0,60.0,0.25,2.0,2.0,0.5,2.0,0.5,0.0,0.0,0.5,0.5,0.5,1.0
Inkay,dark,psychic,54.0,53.0,37.0,46.0,45.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Malamar,dark,psychic,92.0,88.0,68.0,75.0,73.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Binacle,rock,water,52.0,67.0,39.0,56.0,50.0,1.0,1.0,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Barbaracle,rock,water,105.0,115.0,54.0,86.0,68.0,1.0,1.0,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0
Skrelp,poison,water,60.0,60.0,60.0,60.0,30.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5
Dragalge,poison,dragon,75.0,90.0,97.0,123.0,44.0,0.5,1.0,1.0,0.25,2.0,2.0,1.0,0.5,2.0,1.0,1.0,0.5
Helioptile,electric,normal,38.0,33.0,61.0,43.0,70.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
